Time,Sigma,UpperBound,LowerBound
13:30:00,0.001388,6255.131086,6218.625533
14:00:00,0.002557,6262.433453,6211.345600
14:30:00,0.002550,6262.385801,6211.393105
15:00:00,0.002773,6263.783337,6209.999863
15:30:00,0.002851,6264.266464,6209.518220
16:00:00,0.002890,6264.512537,6209.272904
16:30:00,0.003001,6265.208547,6208.579031
17:00:00,0.003377,6267.551573,6206.243203
17:30:00,0.003744,6269.844431,6203.957390
18:00:00,0.003562,6268.708238,6205.090092
18:30:00,0.003679,6269.443591,6204.356999
19:00:00,0.003806,6270.234433,6203.568586
19:30:00,0.004000,6271.446795,6202.359949 
